supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
nakumatt,22,3,5611.0,5611,0.0,card,yes,no,no,yes,yes,no,no,2016-12-24 00:00:00,no,16:26:00,afternoon,chain,cbd,mid,wednesday,weekday,yes,24,12,2016.0,16,B,0,2,1,2016-12-24 16:26:00,1
chandarana,32,3,7955.0,7955,0.0,mpesa,yes,no,no,yes,yes,no,no,2017-01-03 00:00:00,yes,19:03:00,night,median,yaya,high,tuesday,weekday,no,3,1,2017.0,19,B,0,3,1,2017-01-03 19:03:00,1
tuskys,33,6,13005.0,13001,0.0,card,yes,no,no,yes,yes,yes,no,2016-12-07 00:00:00,yes,08:56:00,morning,chain,donholm,mid,wednesday,weekday,no,7,12,2016.0,8,B,0,0,1,2016-12-07 08:56:00,1
nakumatt,1,1,2420.0,2460,0.0,card,no,no,no,no,yes,no,no,2016-11-11 00:00:00,yes,08:16:00,morning,chain,kilimani,high,friday,weekday,no,11,11,2016.0,8,A,2,4,1,2016-11-11 08:16:00,1
nakumatt,12,2,4926.0,4926,0.0,card,yes,no,no,no,yes,no,no,2016-11-11 00:00:00,yes,08:44:00,morning,chain,kilimani,high,friday,weekday,no,11,11,2016.0,8,B,0,0,1,2016-11-11 08:44:00,1
nakumatt,4,2,5439.0,5439,0.0,mpesa,yes,no,no,no,no,no,no,2016-11-28 00:00:00,yes,06:49:00,morning,chain,kilimani,high,monday,weekday,no,28,11,2016.0,6,B,0,2,1,2016-11-28 06:49:00,1
nakumatt,5,1,8110.0,8110,0.0,mpesa,no,no,no,no,yes,no,no,2017-01-13 00:00:00,yes,17:40:00,afternoon,chain,kilimani,high,friday,weekday,no,13,1,2017.0,17,B,0,3,1,2017-01-13 17:40:00,1
nakumatt,5,1,850.0,850,0.0,card,no,no,yes,no,no,no,no,2016-11-29 00:00:00,yes,05:51:00,night,chain,kilimani,high,thursday,weekday,no,29,11,2016.0,5,B,1,1,1,2016-11-29 05:51:00,1
naivas,10,4,2903.0,2903,0.0,mpesa,yes,no,yes,yes,yes,yes,no,2017-05-21 00:00:00,no,14:21:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,14,B,3,5,1,2017-05-21 14:21:00,1
nakumatt,14,3,2183.0,2183,0.0,card,yes,yes,no,no,yes,no,no,2017-01-15 00:00:00,no,18:16:00,afternoon,chain,cbd,mid,sunday,weekend,yes,15,1,2017.0,18,B,4,1,1,2017-01-15 18:16:00,1
nakumatt,6,3,3585.0,3585,0.0,mpesa,no,yes,yes,no,no,yes,yes,2017-03-10 00:00:00,no,16:30:00,afternoon,chain,eldoret,mid,friday,weekday,no,10,3,2017.0,16,B,0,6,1,2017-03-10 16:30:00,1
