supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
acacia,1,1,90.0,100,10.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,no,19:33:00,night,small,saika,mid,saturday,weekend,no,20,5,2017.0,19,A,1,1,1,2017-05-20 19:33:00,0
acacia,1,1,90.0,500,410.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,no,19:12:00,night,small,saika,mid,saturday,weekend,no,20,5,2017.0,19,A,1,1,1,2017-05-20 19:12:00,0
acacia,3,1,270.0,300,30.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,no,19:16:00,night,small,saika,mid,saturday,weekend,no,20,5,2017.0,19,B,1,1,1,2017-05-20 19:16:00,0
acacia,3,1,137.0,200,63.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,no,19:12:00,night,small,saika,mid,saturday,weekend,no,20,5,2017.0,19,B,1,1,1,2017-05-20 19:12:00,0
acacia,1,1,75.0,80,5.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,no,18:31:00,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017.0,18,A,1,1,1,2017-05-20 18:31:00,0
nakumatt,22,3,5611.0,5611,0.0,card,yes,no,no,yes,yes,no,no,2016-12-24 00:00:00,no,16:26:00,afternoon,chain,cbd,mid,wednesday,weekday,yes,24,12,2016.0,16,B,0,2,1,2016-12-24 16:26:00,1
acacia,1,1,55.0,100,45.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,no,18:23:00,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017.0,18,A,1,1,1,2017-05-20 18:23:00,0
chandarana,32,3,7955.0,7955,0.0,mpesa,yes,no,no,yes,yes,no,no,2017-01-03 00:00:00,yes,19:03:00,night,median,yaya,high,tuesday,weekday,no,3,1,2017.0,19,B,0,3,1,2017-01-03 19:03:00,1
nakumatt,1,1,780.0,1000,220.0,cash,no,no,no,yes,no,no,no,2017-03-27 00:00:00,yes,19:34:00,night,chain,kilimani,high,monday,weekday,no,27,3,2017.0,19,A,1,1,1,2017-03-27 19:34:00,0
acacia,1,1,235.0,500,265.0,cash,no,no,no,yes,no,no,no,2017-05-15 00:00:00,no,14:06:00,afternoon,small,saika,mid,monday,weekday,no,15,5,2017.0,14,A,1,1,1,2017-05-15 14:06:00,0
